date,price,mweb,virtune_ltc,lealana,ltcn,lite-de,cbltc,bitw,lits,eltc,ltcc,luxx,thorchain,total_ltc,total_usd
2020-01-01 00:00:00,41.3303118717958,0,0,12485,0,0,0,0,0,0,0,0,0,12485,516008.9437193706
2020-01-02 00:00:00,41.6063161327256,0,0,12485,0,0,0,0,0,0,0,0,0,12485,519454.85691707913
2020-01-03 00:00:00,39.4138131272575,0,0,12485,0,0,0,0,0,0,0,0,0,12485,492081.45689380984
2020-01-04 00:00:00,41.9910474015051,0,0,12485,0,0,0,0,0,0,0,0,0,12485,524258.22680779116
2020-01-05 00:00:00,42.7814173933095,0,0,12485,0,0,0,0,0,0,0,0,0,12485,534125.9961554691
2020-01-06 00:00:00,43.2273233771915,0,0,12485,0,0,0,0,0,0,0,0,0,12485,539693.1323642359
2020-01-07 00:00:00,45.695014500674,0,0,12485,0,0,0,0,0,0,0,0,0,12485,570502.2560409149
2020-01-08 00:00:00,46.3273053513393,0,0,12485,0,0,0,0,0,0,0,0,0,12485,578396.4073114712
2020-01-09 00:00:00,45.2024677878124,0,0,12485,0,0,0,0,0,0,0,0,0,12485,564352.8103308378
2020-01-10 00:00:00,44.8953845079076,0,0,12485,0,0,0,0,0,0,0,0,0,12485,560518.8755812264
2020-01-11 00:00:00,49.0671953765053,0,0,12485,0,0,0,0,0,0,0,0,0,12485,612603.9342756687
2020-01-12 00:00:00,49.2114899152042,0,0,12485,0,0,0,0,0,0,0,0,0,12485,614405.4515913244
2020-01-13 00:00:00,50.996923843915,0,0,12485,0,0,0,0,0,0,0,0,0,12485,636696.5941912788
2020-01-14 00:00:00,49.5660967329528,0,0,12485,0,0,0,0,0,0,0,0,0,12485,618832.7177109157
2020-01-15 00:00:00,58.8351078850731,0,0,12485,0,0,0,0,0,0,0,0,0,12485,734556.3219451377
2020-01-16 00:00:00,58.1753994283392,0,0,12485,0,0,0,0,0,0,0,0,0,12485,726319.8618628149
2020-01-17 00:00:00,57.5739884845452,0,0,12485,0,0,0,0,0,0,0,0,0,12485,718811.2462295467
2020-01-18 00:00:00,61.6777675132499,0,0,12485,0,0,0,0,0,0,0,0,0,12485,770046.927402925
2020-01-19 00:00:00,59.319921694628,0,0,12485,0,0,0,0,0,0,0,0,0,12485,740609.2223574306
2020-01-20 00:00:00,57.6354986258351,0,0,12485,0,0,0,0,0,0,0,0,0,12485,719579.2003435512
2020-01-21 00:00:00,57.1168848062214,0,0,12485,0,0,0,0,0,0,0,0,0,12485,713104.3068056742
2020-01-22 00:00:00,57.6131688551672,0,0,12485,0,0,0,0,0,0,0,0,0,12485,719300.4131567625
2020-01-23 00:00:00,58.189584866555,0,0,12485,0,0,0,0,0,0,0,0,0,12485,726496.9670589392
2020-01-24 00:00:00,54.2643476943385,0,0,12485,0,0,0,0,0,0,0,0,0,12485,677490.3809638161
2020-01-25 00:00:00,54.3665832837622,0,0,12485,0,0,0,0,0,0,0,0,0,12485,678766.7922977711
2020-01-26 00:00:00,53.5187731673728,0,0,12485,0,0,0,0,0,0,0,0,0,12485,668181.8829946493
